Qty,Reference,Vendor Part Number
15,J3 J6 J8,277-1583-ND
5,J7,277-1591-ND
5,J2,WM1896TR-ND
5,J5,1720430202-ND
5,J1,3M9447-ND
5,J4,609-4724-ND
20,Q1 Q3-4 Q7,2N7002NTR-ND
5,U3,785-1644-1-ND
15,D1-2 D7,B360A-FDICT-ND
100,C1 C5 C9 C11-12 C14,490-10697-1-ND
100,C8 C13,490-10024-1-ND
10,C10,445-7660-1-ND
20,C16 C18,490-5961-1-ND
20,C7 C17 C19,490-5528-1-ND
15,SW1-3,450-1140-ND
5,F1,F5197-ND
5,U4,MC74HC595ADTR2GOSCT-ND
15,D3-5,754-1121-1-ND
5,U2,576-4864-1-ND
5,L1,587-3448-1-ND
100,R7 R12 R17 R23,P100KLCT-ND
100,R32,P100LCT-ND
100,R19-22 R25 R30 R6 R8-11 R5 R14 R16,P10.0KLCT-ND
100,R26-28,P120JCT-ND
100,R1,P1.00KLCT-ND
100,R18,P200KLCT-ND
100,R24,P40.2KLCT-ND
100,R31,P402KLCT-ND
100,R29,P53.6KLCT-ND
100,R81,P8.20KLCT-ND
100,R15,P910KLCT-ND
100,R83,P91.0KLCT-ND
5,C15,478-10014-ND
5,L2,SRR1210-100MCT-ND
25,Q2 Q5-6 Q8,MMBT3904FSCT-ND
