Item,Qty,Reference,Description,Manufacturer,Manufacturer P/N,Vendor,Vendor P/N
1,3,J3 J6 J8,"8 Position Wire to Board Terminal Block Horizontal with Board 0.197"" (5.00mm) Through Hole",Phoenix Contact,1935226,Digi-Key,277-1583-ND
2,1,J7,"16 Position Wire to Board Terminal Block Horizontal with Board 0.197"" (5.00mm) Through Hole",Phoenix Contact,1935307,Digi-Key,277-1591-ND
3,1,J2,CONN HEADER 3POS R/A W/NAIL SMD,Molex,436500313,Digi-Key,WM1896TR-ND
4,1,J5,CONN HDR 2POS 7.50MM R/A SLDR,Molex,1720430202,Digi-Key,1720430202-ND
5,4,F2-5,PTC Resettable Fuse 30V 200mA Ih Surface Mount 1206 (3216 Metric) Concave,Bel Fuse Inc.,0ZCJ0020FF2E,Digi-Key,507-1797-1-ND
6,1,J1,,,,,3M9447-ND
7,1,J4,100 MIL 2X20 HEADER,,,,609-3221-ND
8,16,D6 D8-22,DIODE SWITCHING 75V 0.15A SOD323,Diodes Incorporated,1N4148WS-7-F,Digi-Key,1N4148WS-FDICT-ND
9,4,Q1 Q3-4 Q7,MOSFET N-CH 60V 115MA SOT-23,Fairchild,2N7002,Digi-Key,2N7002NTR-ND
10,8,Q17-24,MOSFET N/P-CH 40V 12A TO252-4,Alpha and Omega,AOD609,Digi-Key,785-1607-1-ND
11,1,U3,IC REG BUCK SYNC ADJ 6A 30LQFN,Alpha & Omega,AOZ1232QI-01,Digi-Key,785-1644-1-ND
12,3,D1-2 D7,DIODE SCHOTTKY 60V 3A SMA,Diodes Inc.,B360A-13-F,Digi-Key,B360A-FDICT-ND
13,8,U6-13,IC MOTOR DRIVER PAR TO263-7,Infineon,BTN8962TAAUMA1,Digi-Key,BTN8962TAAUMA1INCT-ND
14,30,C1 C5 C9 C11-12 C14 C20-28 C37-38 C40 C42-43 C52-61,CAP CER 0.1UF 50V 10% X5R 0402,Murata,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
15,8,C44-51,CAP CER 1000PF 50V 10% X5R 0402,Murata,GRM155R61H102KA01D,Digi-Key,490-6316-1-ND
16,6,C2-4 C6 C8 C13,CAP CER 1UF 6.3V 10% 0402,Murata,GRM155R70J105KA12D,Digi-Key,490-10024-1-ND
17,1,C10,CAP CER 10UF 10V 10% X5R 0805,TDK,C2012X5R1A106K125AB,Digi-Key,445-7660-1-ND
18,4,C16 C18 C39 C41,CAP CER 10UF 25V 10% X5R 1206,Murata,GRM31CR61H106KA12L,Digi-Key,490-5961-1-ND
19,3,C7 C17 C19,CAP CER 47UF 10V 20% X5R 1206,Murata,GRM31CR61A476ME15L,Digi-Key,490-5528-1-ND
20,8,C29-36,CAP CER 10UF 50V 10% X7R 1210,Murata,GRM32ER71H106KA12L,Digi-Key,490-6544-1-ND
21,8,T1-8,2 Line Common Mode Choke Surface Mount 33 Ohm @ 100MHz 15A DCR 0.75 mOhm,Laird,CM2021Y330R-10,Digi-Key,240-2502-1-ND
22,8,R109-116,RES SMD 0.005 OHM 1% 1W 1206,Stackpole Electronics Inc.,CSRF1206FT5L00,Digi-Key,CSRF1206FT5L00TR-ND
23,8,Q9-16,MOSFET 2N-CH 20V 1.33A SOT563,Diodes Inc.,DMN2400UV-7,Digi-Key,DMN2400UV-7DICT-ND
24,3,SW1-3,SWITCH TACT 6X3.5MM SMD 180GF,Tyco,FSMSM,Digi-Key,450-1140-ND
25,1,F1,,,,Digi-Key,F5197-ND
26,1,U4,,,,Digi-Key,MC74HC595ADTR2GOSCT-ND
27,1,U14,IC VOLT REG POS ADJ SOT-223-3,TI,LM317DCYR,Digi-Key,296-12602-1-ND
28,8,U16-23,IC OPAMP CURR SENSE 14KHZ SC70-6,TI,INA213BIDCKR,Digi-Key,296-40129-1-ND
29,4,Q25-28,MOSFET N+P 30V 2A MICRO8,International Rectifier,IRF7509TR,Digi-Key,IRF7509CT-ND
30,3,D3-5,LED 1.6X0.8MM 568NM GRN CLR SMD,Kingbrite,APT1608SGC,DIGIKEY,754-1121-1-ND
31,1,U24,IC OPAMP GP 500KHZ RRO 8SOIC,TI,TLV2762IDR,Digi-Key,296-10665-1-ND
32,2,U5 U15,IC OPAMP GP 1.2MHZ 14TSSOP,TI,LM324PWR,Digi-Key,296-9545-1-ND
33,1,U2,Boost Switching Regulator IC Positive Adjustable 2.5V 1 Output 3.8A (Switch) 8-UFDFN Exposed Pad,Microchip,MIC2876-AYMT-T5,Digi-Key,576-4864-1-ND
34,1,L1,FIXED IND 1UH 1.7A 70 MOHM SMD,Taiyo Yuden,NRS2012T1R0NGJ,Digi-Key,587-3448-1-ND
35,16,R7 R12 R17 R23 R36 R94 R101 R106 R117-120 R137-140,RES 100K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND
36,1,R32,RES 100 OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1000X,Digi-Key,P100LCT-ND
37,68,R2-6 R8-11 R13-14 R16 R19-22 R25 R30 R35 R38-70 R73-80 R82 R96 R99 R102 R105 R108 R141-142,RES 10K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1002X,Digi-Key,P10.0KLCT-ND
39,3,R26-28,RES 120 OHM 1/10W 5% 0402 SMD,Panasonic - ECG,ERJ-2GEJ121X,Digi-Key,P120JCT-ND
40,16,R121-136,RES 0 OHM 1/10W 0402 SMD,Panasonic - ECG,ERJ-2RKF1912X,Digi-Key,P0.0JCT-ND
41,4,R33 R71 R97 R103,RES SMD 1 OHM 1% 1/6W 0402,Panasonic - ECG,ERJ-2BQF1R0X,Digi-Key,P17252CT-ND
42,6,R1 R37 R92 R95 R100 R107,RES 1K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND
43,1,R18,RES 200K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF2003X,Digi-Key,P200KLCT-ND
44,4,R34 R72 R98 R104,RES 4.22K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4221X,Digi-Key,P4.22KLCT-ND
45,1,R24,RES 40.2K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4022X,Digi-Key,P40.2KLCT-ND
46,1,R31,RES 402K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4023X,Digi-Key,P402KLCT-ND
47,1,R29,RES 53.6K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF5362X,Digi-Key,P53.6KLCT-ND
48,1,R93,RES 6.98K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF6981X,Digi-Key,P6.98KLCT-ND
49,1,R81,RES 8.2K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ2RKF8201X,Digi-Key,P8.20KLCT-ND
50,1,R15,RES 910K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF9103X,,P910KLCT-ND
51,1,R83,RES 91K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ2RKF9102X,Digi-Key,P91.0KLCT-ND
52,1,C15,CAPACITOR 1.5F 20% 5V THRU HOLE,AVX,SCMR22C155MSBA0,Digi-Key,478-10014-ND
53,1,L2,FIXED IND 10UH 6.5A 18 MOHM SMD,Bourns,SRR1210-100M,Digi-Key,SRR1210-100MCT-ND
56,4,Q2 Q5-6 Q8,TRANSISTOR GP NPN AMP SOT-23,Fairchild,MMBT3904,Digi-Key,MMBT3904FSCT-ND
