Qty,Reference,Description,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number
5,J4 J12 J16-18,"8 Position Terminal Block Header Male Pins Shrouded (4 Side) 0.200"" (5.08mm) Vertical Through Hole",Molex,395311008,Digi-Key,WM7842-ND
1,J6,CONN HEADER 3POS R/A W/NAIL SMD,Molex,436500313,Digi-Key,WM1896TR-ND
1,J9,CONN HDR 2POS 7.50MM R/A SLDR,Molex,1720430202,Digi-Key,1720430202-ND
8,F2-9,FUSE BOARD MNT 10A 350VAC 60VDC,Belfuse,0679H9100-01,Digi-Key,507-2038-1-ND
4,F10-13,PTC Resettable Fuse 24V Ih Surface Mount 1206 (3216 Metric) Concave,Bel Fuse Inc.,0ZCJ0050AF2E,Digi-Key,507-1803-1-ND
1,J1,100 MIL 1X2 HEADER,Amphenol,68000-102HLF,Digi-Key,609-3500-ND
1,J15,100 MIL 1X6 HEADER,Amphenol,68000-206HLF,Digi-Key,609-3256-ND
1,J7,100 MIL 2X20 HEADER,Amphenol,68602-140HLF,Digi-Key,609-4724-ND
10,D11 D13 D15 D17 D19 D21 D23 D25 D27-28,DIODE SWITCHING 75V 0.15A SOD323,Diodes Incorporated,1N4148WS-7-F,Digi-Key,1N4148WS-FDICT-ND
3,Q1-3,MOSFET N-CH 60V 115MA SOT-23,Fairchild,2N7002,Digi-Key,2N7002NTR-ND
8,Q12-19,MOSFET N/P-CH 40V 12A TO252-4,Alpha and Omega,AOD609,Digi-Key,785-1607-1-ND
1,U6,IC REG BUCK SYNC ADJ 6A 30LQFN,Alpha & Omega,AOZ1232QI-01,Digi-Key,785-1644-1-ND
3,D4-5 D12,DIODE SCHOTTKY 60V 3A SMA,Diodes Inc.,B360A-13-F,Digi-Key,B360A-FDICT-ND
12,D1-3 D6 D10 D14 D16 D18 D20 D22 D24 D26,DIODE ARRAY 70V 200MA SOT23,Diodes Inc.,BAV99-7-F,Digi-Key,BAV99-FDICT-ND
8,U10-17,IC MOTOR DRIVER PAR TO263-7,Infineon,BTN8962TAAUMA1,Digi-Key,BTN8962TAAUMA1INCT-ND
