Item,Qty,Reference,Description,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number
1,1,J2,CONN HEADER 4POS R/A W/NAIL SMD,Molex,0436500413,Digi-Key,WM9176CT-ND
2,1,F1,FUSE CLIP CARTRIDGE 250V 30A PCB,Littelfuse,01020078H,Digi-Key,F042-ND
3,1,J1,CONN BARRIER STRIP 4CIRC 0.438",TE Connectivity,8PCV-04-006,Digi-Key,A98462-ND
4,1,C1,CAP CER 0.022UF 50V 10% X7R 0402,Murata,GRM155R71H223KA12D,Digi-Key,490-3884-1-ND
5,1,C47,CAP CER 0.1UF 50V 10% X5R 0402,Murata,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
6,2,C2-3,CAP CER 4.7UF 35V 10% X5R 0603,Murata,GRM188R6YA475KE15D,Digi-Key,490-7205-1-ND
7,1,C4,CAP CER NS 1210,NA,NS,NA,NS
8,1,T1,1 : 500 Current Sense Transformer 3 mOhm Primary, 21 Ohm Secondary Through Hole,Triad Magnetics,CSE187L,Digi-Key,237-1103-ND
9,1,U1,AC Dimmer Controller PMIC 10-SOIC,Fairchild,FL5160MX,Digi-Key,FL5160MXCT-ND
10,1,Q3,Bipolar (BJT) Transistor NPN 400V 300mA 625mW Through Hole TO-92-3,Fairchild,KSP44TF,Digi-Key,KSP44TFCT-ND
11,2,TV1-2,MOV,,,,
12,2,Q1-2,IGBT 600V 20A 40W Through Hole TO-220F-3FS,ON Semi,NGTB10N60FG,Digi-Key,NGTB10N60FG-ND
13,2,U2-3,OPTOISOLATOR 2.5KV TRANS 4-SSOP,CEL,PS2801-1-F3-A,Digi-Key,PS2801-1ACT-ND
14,1,R6,RES 150K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1503X,Digi-Key,P150KLCT-ND
15,3,R3 R7-8,RES 1K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND
16,1,R4,RES 1M OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1004X,,P1.00MLCT-ND
17,2,R1-2,RES 2M OHM 1/10W 5% 0402 SMD,Panasonic - ECG,ERJ-2GEJ205X,Digi-Key,P2.0MJCT-ND
18,1,R5,RES 30K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF3002X,Digi-Key,P30.0KLCT-ND
19,1,D1,Diode Standard 1000V (1kV) 1A Surface Mount SMA (DO-214AC),Fairchild/ON Semiconductor,RS1M,Digi-Key,RS1MFSCT-ND
