Qty,Reference,Description,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number
15,J4 J8 J11,"8 Position Wire to Board Terminal Block Horizontal with Board 0.197"" (5.00mm) Through Hole",Phoenix Contact,1935226,Digi-Key,277-1583-ND
40,J6-7 J9-10 J12-15,"6 Positions Header Connector 0.118"" (3.00mm) Surface Mount  Right Angle Gold",Molex,430450610,Digi-Key,WM7063CT-ND
20,F1-4,PTC Resettable Fuse 30V 200mA Ih Surface Mount 1206 (3216 Metric) Concave,Bel Fuse Inc.,0ZCJ0020FF2E,Digi-Key,507-1797-1-ND
5,J1,,,,,3M9447-ND
5,J5,100 MIL 2X20 HEADER,,,,609-3221-ND
40,D4-5 D7-8 D10 D12-14,DIODE SWITCHING 75V 0.15A SOD323,Diodes Incorporated,1N4148WS-7-F,Digi-Key,1N4148WS-FDICT-ND
20,Q1 Q3-4 Q8,,Fairchild,2N7002,Digi-Key,2N7002NTR-ND
10,J2-3,,Molex,44661-0001,Digi-Key,WM5463-ND
5,U5,POE Module,Silvertel,AG9724-FL,Symmetry Electronics,AG9724-FL
5,U2,IC REG BUCK SYNC ADJ 6A 30LQFN,Alpha & Omega,AOZ1232QI-01,Digi-Key,785-1644-1-ND
15,D6 D9 D11,DIODE SCHOTTKY 60V 3A SMA,Diodes Inc.,B360A-13-F,Digi-Key,B360A-FDICT-ND
100,C1 C9 C11-13 C16 C20 C22-23 C27 C30-31,CAP CER 0.1UF 50V 10% X5R 0402,Murata,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
100,C2-4 C10 C14 C24,CAP CER 1UF 6.3V 10% 0402,Murata,GRM155R70J105KA12D,Digi-Key,490-10024-1-ND
100,C5-8,CAP CER 0.1UF 100V 10% X7R 0603,Murata,GRM188R72A104KA35D,Digi-Key,490-3285-1-ND
25,C25,CAP CER 10UF 10V 10% X5R 0805,TDK,C2012X5R1A106K125AB,Digi-Key,445-7660-1-ND
25,C15 C18 C26 C28,CAP CER 10UF 25V 10% X5R 1206,Murata,GRM31CR61H106KA12L,Digi-Key,490-5961-1-ND
25,C17 C19 C21,CAP CER 47UF 10V 20% X5R 1206,Murata,GRM31CR61A476ME15L,Digi-Key,490-5528-1-ND
5,T1,POE MIDSPAN TRANSFORMER,Coilcraft,FA2536-ALB,Coilcraft,FA2536-ALB
15,SW1-3,SWITCH TACT 6X3.5MM SMD 180GF,Tyco,FSMSM,Digi-Key,450-1140-ND
5,U3,,,,Digi-Key,MC74HC595ADTR2GOSCT-ND
5,U7,,,,Digi-Key,296-12602-1-ND
20,Q9-12,MOSFET N+P 30V 2A MICRO8,International Rectifier,IRF7509TR,Digi-Key,IRF7509CT-ND
15,D1-3,,Kingbrite,APT1608SGC,DIGIKEY,754-1121-1-ND
10,U4 U8,IC OPAMP GP 1.2MHZ 14TSSOP,TI,LM324PWR,Digi-Key,296-9545-1-ND
5,U6,Boost Switching Regulator IC Positive Adjustable 2.5V 1 Output 3.8A (Switch) 8-UFDFN Exposed Pad,Microchip,MIC2876-AYMT-T5,Digi-Key,576-4864-1-ND
5,L2,FIXED IND 1UH 1.7A 70 MOHM SMD,Taiyo Yuden,NRS2012T1R0NGJ,Digi-Key,587-3448-1-ND
100,R7 R13 R17 R22 R35 R43 R58 R63 R66-69 R71-74,RES 100K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND
100,R52,RES 100 OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1000X,Digi-Key,P100LCT-ND
200,R2-6 R9-12 R14-16 R19-21 R24 R29 R34 R37 R40 R45 R50 R56 R59 R62 R65,RES 10K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1002X,Digi-Key,P10.0KLCT-ND
100,R25-27,RES 120 OHM 1/10W 5% 0402 SMD,Panasonic - ECG,ERJ-2GEJ121X,Digi-Key,P120JCT-ND
100,R31 R38 R53 R60,RES SMD 1 OHM 1% 1/6W 0402,Panasonic - ECG,ERJ-2BQF1R0X,Digi-Key,P17252CT-ND
100,R1 R36 R41 R44 R57 R64,RES 1K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND
100,R47,RES 200K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF2003X,Digi-Key,P200KLCT-ND
100,R33 R39 R55 R61,RES 4.22K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4221X,Digi-Key,P4.22KLCT-ND
100,R23,RES 40.2K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4022X,Digi-Key,P40.2KLCT-ND
100,R30,RES 402K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4023X,Digi-Key,P402KLCT-ND
