Qty,Reference,Description,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number
5,J3 J6-7 J9-10,,Phoenix Contact,,Digi-Key,277-1583-ND
4,F1-4,,Bel Fuse Inc.,,Digi-Key,507-1803-1-ND
1,J1,,,,,
1,J8,,,,,
1,J5,,,,,
1,J11,CONN HEADR 2.54MM 24POS GOLD SMD,Sullins,,Digi-Key,S9189-ND
10,D5-6 D10-14 D16-17 D19,,Diodes Incorporated,,Digi-Key,1N4148WS-FDICT-ND
4,Q1-4,MOSFET N-CH 60V 115MA SOT-23,Fairchild,,Digi-Key,2N7002NTR-ND
2,J2 J4,CONN MOD JACK R/A 8P8C SHIELDED,Molex,,Digi-Key,WM5463-ND
1,U8,,Silvertel,,Symmetry Electronics,AG9724-FL
4,K1-4,,Panasonic,,Digi-Key,255-1854-ND
1,U4,,Alpha & Omega,,Digi-Key,785-1644-1-ND
3,D15 D18 D20,,Diodes Inc.,,Digi-Key,B360A-FDICT-ND
8,D21-28,,,,,
4,D1-4,,Diodes Inc.,,Digi-Key,BAV99-FDICT-ND
22,C1 C4 C6 C11-13 C15 C17-19 C22-24 C29 C33-34 C38-39 C46-47 C51 C55,,Murata,,Digi-Key,490-10697-1-ND
5,C21 C37 C44 C48 C54,,Murata,,Digi-Key,490-6169-1-ND
6,C2-3 C5 C14 C20 C32,,Murata,,Digi-Key,490-10024-1-ND
4,C7-10,,Murata,,Digi-Key,490-3285-1-ND
9,C35 C41-43 C45 C49-50 C52-53,,TDK,,Digi-Key,445-7660-1-ND
5,C16 C25 C27 C30 C36,,Murata,,Digi-Key,490-5961-1-ND
3,C26 C28 C31,,Murata,,Digi-Key,490-5528-1-ND
1,C56,,Nichicon,,Digi-Key,493-11876-1-ND
1,C57,,Panasonic,,Digi-Key,P12348-ND
4,Q7 Q11 Q15 Q19,MOSFET 2N-CH 20V 1.33A SOT563,Diodes, Inc.,,Digi-Key,DMN2400UV-7DICT-ND
8,Q5 Q8-9 Q12-13 Q16-17 Q20,,Diodes Inc.,,Digi-Key,DXT2012P5-13TR-ND
1,T1,,Coilcraft,,Coilcraft,FA2536-ALB
3,SW1-3,,Tyco,,Digi-Key,450-1140-ND
1,U10,IC VOLT REG POS ADJ SOT-223-3,,,Digi-Key,
4,Q6 Q10 Q14 Q18,,International Rectifier,,Digi-Key,IRF7509CT-ND
1,U5,,Intersil,,Digi-Key,ISL83490IBZ-ND
3,D7-9,,Kingbrite,,DIGIKEY,754-1121-1-ND
5,U2-3 U7 U12-13,,TI,,Digi-Key,296-9545-1-ND
1,U9,,Microchip,,Digi-Key,576-4864-1-ND
1,U11,IC VOLTAGE DETECT 2.7V SOT23-5,ON Semi,NCP303LSN27T1G,Digi-Key,
1,L2,,Taiyo Yuden,,Digi-Key,587-3448-1-ND
1,U6,,CEL,,Digi-Key,PS2801-1ACT-ND
4,R43 R59 R72 R81,,Panasonic - ECG,,Digi-Key,P100KLCT-ND
1,R89,,Panasonic - ECG,,Digi-Key,P100LCT-ND
64,R2 R5-7 R11 R15 R19 R21 R23 R25-28 R30 R32-35 R40 R42 R45 R49 R53 R56-57 R61 R70 R73 R76 R83 R86-87 R93 R95-99 R101-103 R106-107 R109-113 R115-118 R121-122 R124-125 R127-132 R134-135,,Panasonic - ECG,,Digi-Key,P10.0KLCT-ND
4,R20 R68 R85 R88,,NA,,NA,NS
3,R50-52,,Panasonic - ECG,,Digi-Key,P120JCT-ND
4,R39 R46 R67 R74,,Panasonic - ECG,,Digi-Key,P17252CT-ND
17,R1 R3 R9 R13 R17 R24 R29 R31 R36-38 R44 R60 R71 R77 R82 R90,,Panasonic - ECG,,Digi-Key,P1.00KLCT-ND
20,R4 R8 R10 R12 R14 R16 R18 R22 R54 R62-63 R65 R84 R91 R100 R104 R114 R119 R126 R133,,NA,,NA,NS
1,R80,,Panasonic - ECG,,Digi-Key,P200KLCT-ND
8,R92 R94 R105 R108 R120 R123 R136-137,,Panasonic - ECG,,Digi-Key,P2.00KLCT-ND
4,R41 R47 R69 R75,,Panasonic - ECG,,Digi-Key,P4.22KLCT-ND
1,R48,,Panasonic - ECG,,Digi-Key,P40.2KLCT-ND
1,R58,,Panasonic - ECG,,Digi-Key,P402KLCT-ND
1,R55,,Panasonic - ECG,,Digi-Key,P53.6KLCT-ND
1,R78,,Panasonic - ECG,,Digi-Key,P6.98KLCT-ND
2,R64 R66,,Panasonic - ECG,,Digi-Key,P68.1LCT-ND
1,R79,,Panasonic - ECG,,,P910KLCT-ND
1,C40,,AVX,,Digi-Key,478-10014-ND
1,L1,,Bourns,,Digi-Key,SRR1210-100MCT-ND
1,U1,,PJRC,,PJRC,Teensy 3.6
22,TP1-7 TP9-23,,,,,
