Qty,Reference,Vendor Part Number
8,F1-2,F042-ND
2,J1,S9189-ND
32,Q3-4 Q7-8 Q13-14 Q17-18 Q23-24 Q27-28 Q33-34 Q37-38,2N7002NTR-ND
16,R5 R32-33 R56-57 R80-81 R104,A116084CT-ND
4,J2-3,A98464-ND
16,D4-5 D12-13 D20-21 D28-29,B360A-FDICT-ND
16,C2 C11 C14 C24 C28 C37 C40 C49,490-3884-1-ND
36,C3-4 C9-10 C15-16 C21-23 C26 C29-30 C35-36 C41-42 C47-48,490-10697-1-ND
32,C5-8 C17-20 C31-34 C43-46,490-7205-1-ND
16,T1-8,237-1103-ND
16,U2 U5 U8 U11 U16 U19 U22 U25,FL5160MXCT-ND
4,U12 U14,MC74HC595ADTR2GOSCT-ND
16,D3 D6 D11 D14 D19 D22 D27 D30,MM3Z7V5ST1GOSCT-ND
16,TV1-8,MOV-14D241K-ND
16,Q2 Q9 Q12 Q19 Q22 Q29 Q32 Q39,1727-2365-1-ND
32,U1 U3-4 U6-7 U9-10 U13 U15 U17-18 U20-21 U23-24 U26,PS2801-1ACT-ND
100,R8 R29 R36 R53 R60 R77 R84 R101,P10.0KLCT-ND
100,R16 R19 R22 R25 R40 R43 R46 R49 R64 R67 R70 R73 R88 R91 R94 R97,P120JCT-ND
100,R6 R31 R34 R55 R58 R79 R82 R103,P1.00KLCT-ND
100,R10 R26 R38 R50 R62 R74 R86 R98,P1.00MLCT-ND
100,R9 R27 R37 R51 R61 R75 R85 R99,P2.05KLCT-ND
100,R18 R20-21 R23 R42 R44-45 R47 R66 R68-69 R71 R90 R92-93 R95,P2.70KLCT-ND
100,R15 R17 R24 R28 R39 R41 R48 R52 R63 R65 R72 R76 R87 R89 R96 R100,P2.0MJCT-ND
100,R7 R30 R35 R54 R59 R78 R83 R102,P49.9KLCT-ND
100,R1-4 R11-14,P49.9LCT-ND
32,D1-2 D7-10 D15-18 D23-26 D31-32,RS1MFSCT-ND
32,Q1 Q5-6 Q10-11 Q15-16 Q20-21 Q25-26 Q30-31 Q35-36 Q40,497-13264-1-ND
20,K1-10,T9AS5D12-5-ND
