Qty,Reference,Description,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number,
4,F1-4,FUSE CLIP CARTRIDGE 250V 30A PCB,Littelfuse,01020078H,Digi-Key,F042-ND,
1,J1,2X12 SMT HEADER FEMALE,Sullins,SBH11-NBPC-D12-SM-BK,Digi-Key,S9189-ND,
13,J2-14,"0.250"" (6.35mm) Quick Connect Male Solder Connector Non-Insulated",Keystone Electronics,1287-ST,Digi-Key,36-1287-ST-ND,
11,Q5 Q13-20 Q24-25,MOSFET N-CH 60V 115MA SOT-23,Fairchild,2N7002,Digi-Key,2N7002NTR-ND,
8,R27 R54-55 R72-73 R97 R99 R116,150k Ohm ±1% 2W Chip Resistor 2512 (6432 Metric) Thick Film,TE Connectivity Passive Product,3521150KFT,Digi-Key,A116084CT-ND,
12,R7-16 R25-26,150k Ohm ±1% 2W Chip Resistor 2512 (6432 Metric) Thick Film,TE Connectivity Passive Product,35211M0FT,Digi-Key,A116104CT-ND,
12,U1-4 U7-8 U13-14 U21-22 U28-29,OPTOISO 5KV TRANS W/BASE 8SMD,Lite-On,6N136S-TA1,Digi-Key,,
14,D9-12 D25-32 D40-41,DIODE SCHOTTKY 60V 3A SMA,Diodes Inc.,B360A-13-F,Digi-Key,B360A-FDICT-ND,
8,D5-8 D15-18,DIODE ARRAY 70V 200MA SOT23,Diodes Inc.,BAV99-7-F,Digi-Key,BAV99-FDICT-ND,
16,C14 C16-17 C20 C30 C32-33 C35 C47 C49-50 C53 C60 C62-63 C65,CAP CER .1UF 25V 10% 0402,Murata,GRM155R61E104KA87D,Digi-Key,490-5920-1-ND,
8,C3-6 C8-11,CAP NS 0402,NA,NS,NA,NS,
8,C12 C23 C28 C37 C45 C55 C58 C67,CAP CER 0.022UF 50V 10% X7R 0402,Murata,GRM155R71H223KA12D,Digi-Key,490-3884-1-ND,
3,C1 C24-25,CAP CER 0.1UF 50V 10% X5R 0402,Murata,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND,
3,C39 C44 C51,CAP CER 0.1UF 50V 10% X5R 0402,Murata,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND,
3,C40-42,CAP CER 1000PF 100V 10% X7R 0402,Murata,GRM155R72A102KA01D,Digi-Key,490-6366-1-ND,
8,C15 C19 C31 C34 C48 C52 C61 C64,CAP CER 4.7UF 35V 10% X5R 0603,Murata,GRM188R6YA475KE15D,Digi-Key,490-7205-1-ND,
8,C13 C22 C29 C36 C46 C54 C59 C66,CAP CER 4.7UF 35V 10% X5R 0603,Murata,GRM188R6YA475KE15D,Digi-Key,490-7205-1-ND,
3,C2 C18 C21,CAP CER 10UF 10V 10% X5R 0805,Murata,GRM21BR61A106KE19L,Digi-Key,490-1709-1-ND,
8,C7 C26-27 C38 C43 C56-57 C68,CAP NS 1210,NA,NS,NA,NS,
4,Q1-4,MOSFET 2N-CH 20V 1.33A SOT563,Diodes, Inc.,DMN2400UV-7,Digi-Key,DMN2400UV-7DICT-ND
24,FB1-24,FERRITE CHIP 470 OHM 1500MA 0603,Murata,BLM18KG471SN1D,DIGIKEY,490-5257-1-ND,
