Qty,Reference,Vendor Part Number
16,F1-4,F042-ND
2,J1,S9189-ND
26,J2-14,36-1287-ST-ND
22,Q1 Q9-16 Q20-21,2N7002NTR-ND
16,R18 R39-40 R51-52 R63-64 R75,A116084CT-ND
24,R6-9 R92-93 R95-100,A116104CT-ND
24,U1-4 U6-7 U10-11 U16-17 U20-21,160-1790-1-ND
28,D5-8 D21-28 D35-36,B360A-FDICT-ND
16,D1-4 D11-14,BAV99-FDICT-ND
32,C14 C16-17 C19 C30 C32-34 C47 C49-51 C59 C61-63,490-5920-1-ND
16,C12 C23 C28 C37 C45 C54 C57 C66,490-3884-1-ND
12,C2 C24-25 C38 C44 C68,490-10697-1-ND
6,C40-42,490-6366-1-ND
16,C15 C20 C31 C35 C48 C52 C60 C64,490-7205-1-ND
16,C13 C22 C29 C36 C46 C53 C58 C65,490-7205-1-ND
6,C1 C18 C21,490-1709-1-ND
8,Q37-39 Q41,DMN2400UV-7DICT-ND
48,FB1-24,490-5257-1-ND
6,U13-14 U23,TC74HC595AFNF-ND
40,D9-10 D19-20 D29-30 D37-40 D45-48 D53-58,MM3Z7V5ST1GOSCT-ND
16,U24-31,160-1723-1-ND
16,TV1-8,MOV-14D241K-ND
18,Q2 Q5 Q8 Q17 Q24-25 Q30-31 Q36,1727-2365-1-ND
32,R31 R33 R44 R47 R56 R59 R67 R71 R104-111,P120JCT-ND
32,R76-91,P0.0JCT-ND
68,R5 R14-17 R19-22 R24 R30 R32 R36 R42 R45-46 R50 R54 R57-58 R62 R66 R68 R70 R74 R94 R112-119,P1.00KLCT-ND
24,R1-4 R29 R34 R43 R48 R55 R60 R69 R72,P1.00MLCT-ND
16,R23 R35 R41 R49 R53 R61 R65 R73,P2.05KLCT-ND
2,R37,P4.02KLCT-ND
16,R10-13 R25-28,P49.9LCT-ND
2,R38,P6.04KLCT-ND
32,D15-18 D31-34 D41-44 D49-52,RS1MFSCT-ND
16,K3-10,7-1415899-6-ND
32,Q3-4 Q6-7 Q18-19 Q22-23 Q26-29 Q32-35,497-13264-1-ND
4,K1-2,T9AS5D12-5-ND
16,U5 U8-9 U12 U15 U18-19 U22,ZXGD3005E6TADICT-ND
2,PE0011 U1,785-1644-1-ND
6,PE0011 C2 C5-6,490-5920-1-ND
2,PE0011 C4,490-1319-1-ND
4,PE0011 C7-8,490-3907-1-ND
4,PE0011 C1 C3,490-1867-1-ND
2,PE0011 U2,ISL3283EIHZ-TCT-ND
2,PE0011 R6,P100LCT-ND
4,PE0011 R4-5,P10.0KLCT-ND
2,PE0011 R2,P40.2KLCT-ND
2,PE0011 R3,P402KLCT-ND
2,PE0011 R1,P53.6KLCT-ND
2,PE0011 L1,SRR1210-100MCT-ND
