Qty,Reference,Vendor Part Number
16,F1-4,F042-ND
2,J3,S5721-ND
30,J1-2 J4-14,36-1287-ST-ND
22,Q11-18 Q21-22 Q39,2N7002NTR-ND
100,R6 R35 R44 R63 R68 R85 R90 R111,A116084CT-ND
100,R97-98 R109-110 R112-113 R116-118 R121-122 R124-125 R129-130 R132,A116104CT-ND
24,U3 U5 U12-13 U21 U23 U31-32 U36-39,160-1790-1-ND
30,D24-31 D37-38 D63-64 D67 D69,B360A-FDICT-ND
20,D6-9 D16-19,BAV99-FDICT-ND
100,C2 C6 C15 C23 C26 C30 C37 C41 C44 C48 C57 C61 C64 C68 C74 C76,490-5920-1-ND
100,C8 C10 C35-36 C54-55 C69-70,490-3884-1-ND
100,C4 C9 C17 C28 C33-34 C39 C46 C59 C66 C72 C80,490-10697-1-ND
100,C53 C56 C49,490-10697-1-ND
100,C50-52,490-6366-1-ND
100,C77-79 C81,490-7311-1-ND
100,C5 C24 C29 C42 C47 C62 C67 C75,490-7205-1-ND
100,C3 C16 C27 C38 C45 C58 C65 C71,490-7205-1-ND
100,C7 C31-32,490-1709-1-ND
10,Q36-38 Q40,DMN2400UV-7DICT-ND
100,FB1-24,490-5257-1-ND
10,U19 U22 U25,TC74HC595AFNF-ND
32,Q2-5 Q9-10 Q19-20 Q25-28 Q31-34,IXFX100N65X2-ND
50,D4 D14-15 D36 D39 D48-49 D55 D59-62 D65-66 D68 D70,MM3Z13VT1GOSCT-ND
25,D3 D11 D21 D33 D41 D45 D51 D56,MM3Z7V5ST1GOSCT-ND
16,U4 U6 U11 U14 U20 U24 U30 U35,160-1723-1-ND
25,Q1 Q6-8 Q23-24 Q29-30 Q35,1727-2365-1-ND
100,R9-10 R21-22 R49-50 R53-54 R71-72 R75-76 R95-96 R99 R107,P120JCT-ND
100,R4 R11-12 R26 R42 R51-52 R58 R66 R73-74 R80 R88 R93-94 R102,P0.0JCT-ND
100,R1-3 R5 R17-20 R25 R27-34 R40-41 R43 R57 R59-62 R64-65 R67 R79 R81-84 R86-87 R89 R101 R103-105 R123 R126,P1.00KLCT-ND
100,R8 R23 R46 R55 R70 R77 R92 R100 R108 R114-115 R119-120 R127-128 R131,P1.00MLCT-ND
100,R7 R24 R45 R56 R69 R78 R91 R106,P2.05KLCT-ND
100,R47,P4.02KLCT-ND
100,R13-16 R36-39,P49.9LCT-ND
100,R48,P6.04KLCT-ND
32,D1-2 D12-13 D22-23 D34-35 D42-43 D46-47 D52-53 D57-58,RS1MFSCT-ND
16,K1-8,7-1415899-6-ND
4,K9-10,T9AS5D12-5-ND
16,U2 U7 U10 U15 U18 U26 U29 U33,296-40763-1-ND
16,D5 D10 D20 D32 D40 D44 D50 D54,576-TPSMB200CA
16,U1 U8-9 U16-17 U27-28 U34,ZXGD3005E6TADICT-ND
