Qty,Reference,Description,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number,
4,F1-4,FUSE CLIP CARTRIDGE 250V 30A PCB,Littelfuse,01020078H,Digi-Key,F042-ND,
1,J3,,Sullins,SBH11-NBPC-D12-SM-BK,Digi-Key,S9189-ND,
13,J1-2 J4-14,"0.250"" (6.35mm) Quick Connect Male Solder Connector Non-Insulated",Keystone Electronics,1287-ST,Digi-Key,36-1287-ST-ND,
11,Q11-18 Q21-22 Q39,,Fairchild,2N7002,Digi-Key,2N7002NTR-ND,
8,R7 R36 R47 R66 R73 R90 R97 R116,150k Ohm ±1% 2W Chip Resistor 2512 (6432 Metric) Thick Film,TE Connectivity Passive Product,3521150KFT,Digi-Key,A116084CT-ND,
8,R117-118 R120-121 R129-130 R133-134,150k Ohm ±1% 2W Chip Resistor 2512 (6432 Metric) Thick Film,TE Connectivity Passive Product,35211M0FT,Digi-Key,A116104CT-ND,
8,R114-115 R123-124 R126-127 R135-136,RES SMD 499K OHM 1% 1W 2512,Vishay Dale,CRCW2512499KFKEG,Digi-Key,541-499KAFCT-ND,
8,U3 U5 U12-13 U21 U23 U31-32,OPTOISO 5KV TRANS W/BASE 8SMD,Lite-On,6N136S-TA1,Digi-Key,160-1790-1-ND,
10,D24-31 D37-38,DIODE SCHOTTKY 60V 3A SMA,Diodes Inc.,B360A-13-F,Digi-Key,B360A-FDICT-ND,
8,D6-9 D16-19,DIODE ARRAY 70V 200MA SOT23,Diodes Inc.,BAV99-7-F,Digi-Key,BAV99-FDICT-ND,
16,C3 C5 C14 C21 C25 C27 C34 C37 C41 C43 C52 C55 C59 C61 C66 C68,,Murata,GRM155R61E104KA87D,Digi-Key,490-5920-1-ND,
8,C10-13 C17-20,,NA,NS,NA,NS,
8,C6 C9 C32-33 C49-50 C62-63,CAP CER 0.022UF 50V 10% X7R 0402,Murata,GRM155R71H223KA12D,Digi-Key,490-3884-1-ND,
4,C7 C30-31 C72,CAP CER 0.1UF 50V 10% X5R 0402,Murata,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND,
3,C48 C51 C44,,Murata,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND,
3,C45-47,,Murata,GRM155R72A102KA01D,Digi-Key,490-6366-1-ND,
4,C69-71 C73,CAP CER 100PF 100V 5% NP0 0402,Murata,GRM1555C2A101JA01D,Digi-Key,490-7311-1-ND,
8,C4 C22 C26 C38 C42 C56 C60 C67,CAP CER 4.7UF 35V 10% X5R 0603,Murata,GRM188R6YA475KE15D,Digi-Key,490-7205-1-ND,
8,C2 C15 C24 C35 C40 C53 C58 C64,CAP CER 4.7UF 35V 10% X5R 0603,Murata,GRM188R6YA475KE15D,Digi-Key,490-7205-1-ND,
3,C8 C28-29,CAP CER 10UF 10V 10% X5R 0805,Murata,GRM21BR61A106KE19L,Digi-Key,490-1709-1-ND,
8,C1 C16 C23 C36 C39 C54 C57 C65,CAP CER 10000PF 1KV 10% X7R 1210,NA,NS,NA,NS,
4,Q36-38 Q40,,Diodes, Inc.,DMN2400UV-7,Digi-Key,DMN2400UV-7DICT-ND
24,FB1-24,,Murata,BLM18KG471SN1D,DIGIKEY,490-5257-1-ND,
3,U19 U22 U25,,Texas Instruments,SN74LVC3G07DCTR,Digi-Key,TC74HC595AFNF-ND,
16,Q2-5 Q9-10 Q19-20 Q25-28 Q31-34,MOSFET N-CH 300V 70A TO-247AC,Infineon,IRFP4868PBF,Digi-Key,IRFP4868PBF-ND,
16,D4 D14-15 D36 D39 D48-49 D55 D59-66,Zener Diode 13V 300mW ±6% Surface Mount SOD-323,On Semi,MM3Z13VT1G,Digi-Key,MM3Z13VT1GOSCT-ND,
8,D3 D11 D21 D33 D41 D45 D51 D56,Zener Diode 7.5V 300mW ±2% Surface Mount SOD-323,On Semi,MM3Z7V5ST1G,Digi-Key,MM3Z7V5ST1GOSCT-ND,
8,U4 U6 U11 U14 U20 U24 U30 U35,OPTOISOLATOR 5KV TRIAC 6SMD,Lite-On,MOC3063S-TA1,Digi-Key,160-1723-1-ND,
8,TV1-8,,Bourns,MOV-14D241K,Digi-Key,MOV-14D241KTR-ND,
8,U2 U7 U10 U15 U18 U26 U29 U33,,,,Digi-Key,NCP303LSN30T1GOSCT-ND,
9,Q1 Q6-8 Q23-24 Q29-30 Q35,Bipolar (BJT) Transistor NPN 600V 100mA 650mW Surface Mount SOT-223,Nexperia,PBHV2160ZX,Digi-Key,1727-2365-1-ND,
8,R1 R31 R37 R65 R67 R89 R91 R111,RES 100K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND,
8,R2 R29 R42 R63 R68 R87 R92 R109,RES 10K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1002X,Digi-Key,P10.0KLCT-ND,
16,R10-11 R22-23 R52-53 R56-57 R76-77 R80-81 R102-104 R113,RES 120 OHM 1/10W 5% 0402 SMD,Panasonic - ECG,ERJ-2GEJ121X,Digi-Key,P120JCT-ND,
16,R5 R12-13 R26 R45 R54-55 R60 R71 R78-79 R84 R95 R100-101 R106,RES SMD 0 OHM JUMPER 1/10W 0402,Panasonic - ECG,ERJ-2GE0R00X,Digi-Key,P0.0JCT-ND,
26,R3-4 R18-21 R27-28 R32-35 R43-44 R61-62 R69-70 R85-86 R93-94 R107-108 R128 R131,RES 1K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND,
12,R9 R24 R49 R58 R75 R82 R99 R105 R119 R122 R125 R132,RES 1M OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1004X,,P1.00MLCT-ND,
8,R8 R25 R48 R59 R74 R83 R98 R112,RES 2.05K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF2051X,Digi-Key,P2.05KLCT-ND,
8,R6 R30 R46 R64 R72 R88 R96 R110,RES 20K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF2002X,Digi-Key,P20.0KLCT-ND,
1,R50,RES 4.02K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4021X,Digi-Key,P4.02KLCT-ND,
8,R14-17 R38-41,RES 49.9 OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF49R9X,Digi-Key,P49.9LCT-ND,
1,R51,RES 6.04K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF6041X,Digi-Key,P6.04KLCT-ND,
8,T1-8,1 : 1000 Current Sense Transformer,Renco Electronics,RL-7747-1000,TBD,TBD,
16,D1-2 D12-13 D22-23 D34-35 D42-43 D46-47 D52-53 D57-58,Diode Standard 1000V (1kV) 1A Surface Mount SMA (DO-214AC),Fairchild/ON Semiconductor,RS1M,Digi-Key,RS1MFSCT-ND,
8,K1-8,RELAY GEN PURP,TE,7-1415899-6,Digi-Key,7-1415899-6-ND,
2,K9-10,RELAY GEN PURPOSE SPDT 20A 5V,TE Connectivity,T9AS5D12-5,Digi-Key,T9AS5D12-5-ND,
