Qty,Reference,Description,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number,
3,J1 J5-6,125 WTB WAFER ASSY 6CKT EMBSTP P,Molex,533980667,Digi-Key,WM12334TR-ND,
3,J2-4,CONN SSL RECEPTACLE 1POS SOLDER,Molex,1041880110,Digi-Key,WM10424CT-ND,
6,D146 D148 D150 D152 D154 D156,DIODE SCHOTTKY 60V 5A SMC,Diodes Inc.,B560C-13-F,Digi-Key,B560C-FDICT-ND,
24,D6 D12 D18 D24 D30 D36 D42 D48 D54 D60 D66 D72 D78 D84 D90 D96 D102 D108 D114 D120 D126 D132 D138 D144,High Power LEDs - Single Color PC Amber, 588-592nm,Luxeon,L135-A589003500000,Mouser,997-L135-A5890035
24,D4 D10 D16 D22 D28 D34 D40 D46 D52 D58 D64 D70 D76 D82 D88 D94 D100 D106 D112 D118 D124 D130 D136 D142,High Power LEDs - Single Color Green 520nm-540nm,Luxeon,L135-G525003500000,Mouser,997-L135-G5250035,
24,D3 D9 D15 D21 D27 D33 D39 D45 D51 D57 D63 D69 D75 D81 D87 D93 D99 D105 D111 D117 D123 D129 D135 D141,High Power LEDs - Single Color Red 620nm-630nm,Luxeon,L135-R625003500000,Mouser,997-L135-R6250035,
24,D5 D11 D17 D23 D29 D35 D41 D47 D53 D59 D65 D71 D77 D83 D89 D95 D101 D107 D113 D119 D125 D131 D137 D143,High Power LEDs - Single Color Royal Blue 445-455nm,Luxeon,L135-U450003500000,Mouser,997-L135-U4500035,
24,D1 D7 D13 D19 D25 D31 D37 D43 D49 D55 D61 D67 D73 D79 D85 D91 D97 D103 D109 D115 D121 D127 D133 D139,High Power LEDs - White Warm White 2700K,Luxeon,MXA9-PW27-H001,Mouser,897-MXA9-PW27-H001,
24,D2 D8 D14 D20 D26 D32 D38 D44 D50 D56 D62 D68 D74 D80 D86 D92 D98 D104 D110 D116 D122 D128 D134 D140,High Power LEDs - White Cool White 6500K 90 CRI,Luxeon,MXA9-PW65-H001,Mouser,997-MXA9-PW65-H001,
6,D145 D147 D149 D151 D153 D155,IC REG/LED DRIVER 350MA DPAK,ON Semi,NSI50350ADT4G,Digi-Key,NSI50350ADT4GOSCT-ND,
