REF-DES,Description,MFR:,MFR_PN:,Vendor:,Vendor_PN:,LEDGroup
J1-2 J9-12,125 WTB WAFER ASSY 6CKT EMBSTP P,Molex,0533980667,Digi-Key,WM12334TR-ND,
J3-8,CONN SSL RECEPTACLE 1POS SOLDER,Molex,1041880110,Digi-Key,WM10424CT-ND,
D6 D18 D30 D42 D54 D66 D78 D90 D102 D114 D126 D138 D150 D162 D174 D186 D198 D210 D222 D234 D246 D258 D270 D282,High Power LEDs - Single Color PC Amber, 588-592nm,Luxeon,L135-A589003500000,Mouser,997-L135-G5250035,12
D23 D155 D83 D167 D47 D179 D95 D191 D11 D203 D107 D215 D59 D227 D119 D239 D35 D251 D131 D263 D71 D275 D143 D287,High Power LEDs - Single Color PC Amber, 588-592nm,Luxeon,L135-A589003500000,Mouser,997-L135-A5890035,6
D2 D14 D26 D38 D50 D62 D74 D86 D98 D110 D122 D134 D146 D158 D170 D182 D194 D206 D218 D230 D242 D254 D266 D278,High Power LEDs - Single Color Green 520nm-540nm,Luxeon,L135-G525003500000,Mouser,997-L135-A5890035,10
D19 D151 D79 D163 D43 D175 D91 D187 D7 D199 D103 D211 D55 D223 D115 D235 D31 D247 D127 D259 D67 D271 D139 D283,High Power LEDs - Single Color Green 520nm-540nm,Luxeon,L135-G525003500000,Mouser,997-L135-G5250035,4
D5 D17 D29 D41 D53 D65 D77 D89 D101 D113 D125 D137 D149 D161 D173 D185 D197 D209 D221 D233 D245 D257 D269 D281,High Power LEDs - Single Color Red 620nm-630nm,Luxeon,L135-R625003500000,Mouser,997-L135-R6250035,3
D24 D156 D84 D168 D48 D180 D96 D192 D12 D204 D108 D216 D60 D228 D120 D240 D36 D252 D132 D264 D72 D276 D144 D288,High Power LEDs - Single Color Red 620nm-630nm,Luxeon,L135-R625003500000,Mouser,897-MXA9-PW27-H001,9
D4 D16 D28 D40 D52 D64 D76 D88 D100 D112 D124 D136 D148 D160 D172 D184 D196 D208 D220 D232 D244 D256 D268 D280,High Power LEDs - Single Color Royal Blue 445-455nm,Luxeon,L135-U450003500000,Mouser,997-L135-U4500035,11
D21 D153 D81 D165 D45 D177 D93 D189 D9 D201 D105 D213 D57 D225 D117 D237 D33 D249 D129 D261 D69 D273 D141 D285,High Power LEDs - Single Color Royal Blue 445-455nm,Luxeon,L135-U450003500000,Mouser,997-L135-U4500035,5
D1 D13 D25 D37 D49 D61 D73 D85 D97 D109 D121 D133 D145 D157 D169 D181 D193 D205 D217 D229 D241 D253 D265 D277,High Power LEDs - White Warm White 2700K,Luxeon,MXA9-PW27-H001,Mouser,897-MXA9-PW27-H001,1
D20 D152 D80 D164 D44 D176 D92 D188 D8 D200 D104 D212 D56 D224 D116 D236 D32 D248 D128 D260 D68 D272 D140 D284,High Power LEDs - White Warm White 2700K,Luxeon,MXA9-PW27-H001,Mouser,997-L135-R6250035,7
D3 D15 D27 D39 D51 D63 D75 D87 D99 D111 D123 D135 D147 D159 D171 D183 D195 D207 D219 D231 D243 D255 D267 D279,High Power LEDs - White Cool White 6500K 90 CRI,Luxeon,MXA9-PW65-H001,Mouser,997-MXA9-PW65-H001,2
D22 D154 D82 D166 D46 D178 D94 D190 D10 D202 D106 D214 D58 D226 D118 D238 D34 D250 D130 D262 D70 D274 D142 D286,High Power LEDs - White Cool White 6500K 90 CRI,Luxeon,MXA9-PW65-H001,Mouser,997-MXA9-PW65-H001,8
