REF-DES,Description,MFR:,MFR_PN:,Vendor:,Vendor_PN:
J1,125 WTB WAFER ASSY 6CKT EMBSTP P,Molex,0533980667,Digi-Key,WM12334TR-ND
J2-3,CONN SSL RECEPTACLE 1POS SOLDER,Molex,1041880110,Digi-Key,WM10424CT-ND
D1-6,DIODE SCHOTTKY 60V 3A SMA,Diodes Inc.,B360A-13-F,Digi-Key,B360A-FDICT-ND
C1 C3 C5 C7 C9 C11,CAP CER 2.2UF 10V 10% X5R 0603,Murata,GRM188R61A225KE34D,Digi-Key,490-1545-1-ND
C2 C4 C6 C8 C10 C12,CAP CER 10UF 35V 10% X5R 0805,Murata,GRM21BR6YA106KE43L,Digi-Key,490-10514-1-ND
U1-6,IC LED DRIVER RGLTR DIM 1A 8SOIC,ON Semi,NCL30160DR2G,,Digi-Key
R13-18,RES SMD 1.02K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF1021V,Digi-Key,P1.02KHCT-ND
R19-24,RES SMD 4.02K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF4021V,Digi-Key,P4.02KHCT-ND
R1 R3 R5 R7 R9 R11,RES SMD 59K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF5902V,Digi-Key,P59.0KHCT-ND
R2 R4 R6 R8 R10 R12,RES 0.5 OHM 1% 1/3W 0805,Susumu,RL1220S-R50-F,,Digi-Key
TP1-6,,,,,
L1-6,FIXED IND 100UH 900MA 611 MOHM,TDK,VLS6045EX-101M,,Digi-Key
