QTY,REF-DES,Description,MFR:,MFR_PN:,Vendor:,Vendor_PN:
5,FB1,,Murata,BLM18KG471SN1D,DIGIKEY,490-5257-1-ND
10,J1-2 J4-5,CONN SSL RECEPTACLE 1POS SOLDER,Molex,1041880110,Digi-Key,WM10424CT-ND
3,J3,IDC BOX HEADER 0.050 10 POS,CNC Tech,3220-10-0300-00,Digi-Key,1175-1629-ND
10,X1,CRYSTAL 16.0000MHZ 10PF SMD,Abracon,ABM8G-16.000MHZ-B4Y-T,Digi-Key,535-10289-1-ND
50,D60 D71 D82 D133 D138 D145 D156-157 D172 D213 D226 D241,DIODE SCHOTTKY 60V 3A SMA,Diodes Inc.,B360A-13-F,Digi-Key,B360A-FDICT-ND
50,C11 C15-17,CAP CER 0.1UF 50V 10% X5R 0402,Murata,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
50,C10,CAP CER 10000PF 25V 10% X7R 0402,Murata,GRM155R71E103KA01D,Digi-Key,490-1312-1-ND
50,C18-19,CAP CER 10PF 50V 5% 0402,Murata,GRM1555C1H100JA01D,Digi-Key,490-5921-1-ND
50,C14 C20,,Murata,GRM155R70J105KA12D,Digi-Key,490-10024-1-ND
50,C3 C5 C7 C21 C23 C25 C27 C29 C31 C33 C35 C37,CAP CER 2.2UF 10V 10% X5R 0603,Murata,GRM188R61A225KE34D,Digi-Key,490-1545-1-ND
50,C12-13,CAP CER 10UF 25V 10% X5R 0805,Murata,GRM21BR61E106KA73L,Digi-Key,490-5523-1-ND
50,C4 C6 C8 C22 C24 C26 C28 C30 C32 C34 C36 C38,CAP CER 10UF 35V 10% X5R 0805,Murata,GRM21BR6YA106KE43L,Digi-Key,490-10514-1-ND
50,C1-2 C9,CAP CER 10UF 35V 10% X5R 1206,Murata,GRM31CR6YA106KA12L,Digi-Key,490-5524-1-ND
5,U6,IC RCVR ESD RS485/422 LP SOT23-6,Intersil,ISL3283EIHZ-T,Digi-Key,ISL3283EIHZ-TCT-ND
5,U5,SENSOR TEMP I2C/SMBUS 8DFN,Microchip,MCP9808T-E/MC,Digi-Key,MCP9808T-E/MCCT-ND
3,U7,IC MCU 32BIT 64KB FLASH 32QFN,NXP,MKV11Z64VFM7,Digi-Key,568-13578-ND
10,D19-20,Zener Diode 13V 300mW ñ6% Surface Mount SOD-323,On Semi,MM3Z13VT1G,Digi-Key,MM3Z13VT1GOSCT-ND
40,U1-3 U8-16,IC LED DRIVER RGLTR DIM 1A 8SOIC,ON Semi,NCL30160DR2G,Digi-Key,NCL30160DR2GOSCT-ND
5,L4,FIXED IND 1UH 1.7A 70 MOHM SMD,Taiyo Yuden,NRS2012T1R0NGJ,Digi-Key,587-3448-1-ND
5,D100,DIODE SCHOTTKY 60V 1A PMDU,Rohm,RB160M-60TR,Digi-Key,RB160M-60CT-ND
10,R21,RES 100K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND
10,R22,RES 16.2K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1622X,Digi-Key,P16.2KLCT-ND
25,R1-2 R26 R28 R30,RES 1K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND
10,R24-25,RES 2.7K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ2RKF2701X,Digi-Key,P2.70KLCT-ND
10,R23,RES 49.9K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4992X,Digi-Key,P49.9KLCT-ND
10,R27 R29,RES 5.1K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF5101X,Digi-Key,P5.10KLCT-ND
50,R4-5 R8 R32 R34 R36-37 R39 R41 R43 R48 R60,RES SMD 59K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF5902V,Digi-Key,P59.0KHCT-ND
50,R3 R6-7 R31 R33 R35 R38 R40 R42 R44 R50 R59,RES 0.5 OHM 1% 1/3W 0805,Susumu,RL1220S-R50-F,Digi-Key,RL12S.50FCT-ND
3,D30,DIODE ARRAY SCHOTTKY 30V DPAK,STMicroelectronics,STPS15L30CB-TR,Digi-Key,497-6574-2-ND
40,L1-3 L5-13,FIXED IND 100UH 900MA 611 MOHM,TDK,VLS6045EX-101M,Digi-Key,445-173040-1-ND
