QTY,REF-DES,Description,MFR:,MFR_PN:,LED Group,Vendor_PN:
4,J1-2 J4-5,CONN SSL RECEPTACLE 1POS SOLDER,Molex,1041880110,,WM10424CT-ND
1,J3,IDC BOX HEADER 0.050 10 POS,CNC Tech,3220-10-0300-00,,
1,X1,CRYSTAL 12MHZ 10PF SMD,Abracon,ABM8G-12.000MHZ-4Y-T3,,535-10901-1-ND
12,D62 D73 D84 D136 D141 D148 D159-160 D175 D216 D229 D244,DIODE SCHOTTKY 60V 3A SMA,Diodes Inc.,B360A-13-F,,B360A-FDICT-ND
4,C13 C17-19,CAP CER 0.1UF 50V 10% X5R 0402,Murata,GRM155R61H104KE14D,,490-10697-1-ND
1,C12,CAP CER 10000PF 25V 10% X7R 0402,Murata,GRM155R71E103KA01D,,490-1312-1-ND
2,C20-21,CAP CER 10PF 50V 5% 0402,Murata,GRM1555C1H100JA01D,,490-5921-1-ND
2,C16 C22,,Murata,GRM155R70J105KA12D,,490-10024-1-ND
12,C5 C7 C9 C23 C25 C27 C29 C31 C33 C35 C37 C39,CAP CER 2.2UF 10V 10% X5R 0603,Murata,GRM188R61A225KE34D,,490-1545-1-ND
12,C6 C8 C10 C24 C26 C28 C30 C32 C34 C36 C38 C40,CAP CER 0.1UF 50V 10% X7R 0805,Murata,GRM21BR71H104KA01L,,490-1666-1-ND
2,C14-15,CAP CER 10UF 25V 10% X5R 0805,Murata,GRM21BR61E106KA73L,,490-5523-1-ND
4,C1-4,CAP CER 22UF 25V 20% X5R 0805,Murata,GRM21BR61E226ME44L,,490-10749-1-ND
1,C11,CAP CER 10UF 35V 10% X5R 1206,Murata,GRM31CR6YA106KA12L,,490-5524-1-ND
1,FB1,,Murata,BLM18KG471SN1D,,490-5257-1-ND
1,U6,IC RCVR ESD RS485/422 LP SOT23-6,Intersil,ISL3283EIHZ-T,,ISL3283EIHZ-TCT-ND
24,D6 D18 D34 D47 D59 D72 D86 D99 D112 D124 D137 D151 D165 D178 D190 D202 D214 D227 D240 D253 D265 D277 D289 D301,High Power LEDs - Single Color PC Amber, 588-592nm,Luxeon,L135-A589003500000,12,997-L135-G5250035
24,D25 D170 D91 D183 D52 D195 D105 D207 D11 D220 D117 D233 D65 D246 D129 D258 D39 D270 D143 D282 D78 D294 D156 D306,High Power LEDs - Single Color PC Amber, 588-592nm,Luxeon,L135-A589003500000,6,997-L135-A5890035
24,D2 D14 D28 D42 D55 D68 D81 D94 D108 D120 D132 D146 D161 D173 D186 D198 D210 D223 D236 D249 D261 D273 D285 D297,High Power LEDs - Single Color Green 520nm-540nm,Luxeon,L135-G525003500000,10,997-L135-A5890035
24,D19 D166 D87 D179 D48 D191 D100 D203 D7 D215 D113 D228 D60 D241 D125 D254 D35 D266 D138 D278 D74 D290 D152 D302,High Power LEDs - Single Color Green 520nm-540nm,Luxeon,L135-G525003500000,4,997-L135-G5250035
24,D5 D17 D32 D45 D58 D71 D85 D97 D111 D123 D135 D150 D164 D177 D189 D201 D213 D226 D239 D252 D264 D276 D288 D300,High Power LEDs - Single Color Red 620nm-630nm,Luxeon,L135-R625003500000,3,997-L135-R6250035
24,D26 D171 D92 D184 D53 D196 D106 D208 D12 D221 D118 D234 D66 D247 D130 D259 D40 D271 D144 D283 D79 D295 D157 D307,High Power LEDs - Single Color Red 620nm-630nm,Luxeon,L135-R625003500000,9,897-MXA9-PW27-H001
24,D4 D16 D30 D44 D57 D70 D83 D96 D110 D122 D134 D149 D163 D176 D188 D200 D212 D225 D238 D251 D263 D275 D287 D299,High Power LEDs - Single Color Royal Blue 445-455nm,Luxeon,L135-U450003500000,11,997-L135-U4500035
24,D21 D168 D89 D181 D50 D193 D102 D205 D9 D218 D115 D231 D63 D243 D127 D256 D37 D268 D140 D280 D76 D292 D154 D304,High Power LEDs - Single Color Royal Blue 445-455nm,Luxeon,L135-U450003500000,5,997-L135-U4500035
1,U5,SENSOR TEMP I2C/SMBUS 8DFN,Microchip,MCP9808T-E/MC,,
1,U7,IC MCU 32BIT 64KB FLASH 32QFN,NXP,MKV11Z64VFM7,,
1,U4,Voltage Regulators - Switching Regulators 1A 24V 1.4MHz Non-sync Buck,MPS,MP2360DG-LF-P,,946-MP2360DGLFP
24,D1 D13 D27 D41 D54 D67 D80 D93 D107 D119 D131 D145 D158 D172 D185 D197 D209 D222 D235 D248 D260 D272 D284 D296,High Power LEDs - White Warm White 2700K,Luxeon,MXA9-PW27-H001,1,897-MXA9-PW27-H001
24,D20 D167 D88 D180 D49 D192 D101 D204 D8 D217 D114 D230 D61 D242 D126 D255 D36 D267 D139 D279 D75 D291 D153 D303,High Power LEDs - White Warm White 2700K,Luxeon,MXA9-PW27-H001,7,997-L135-R6250035
24,D3 D15 D29 D43 D56 D69 D82 D95 D109 D121 D133 D147 D162 D174 D187 D199 D211 D224 D237 D250 D262 D274 D286 D298,High Power LEDs - White Cool White 6500K 90 CRI,Luxeon,MXA9-PW65-H001,2,997-MXA9-PW65-H001
24,D24 D169 D90 D182 D51 D194 D104 D206 D10 D219 D116 D232 D64 D245 D128 D257 D38 D269 D142 D281 D77 D293 D155 D305,High Power LEDs - White Cool White 6500K 90 CRI,Luxeon,MXA9-PW65-H001,8,997-MXA9-PW65-H001
12,U1-3 U8-16,IC LED DRIVER RGLTR DIM 1A 8SOIC,ON Semi,NCL30160DR2G,,
1,L4,FIXED IND 1UH 1.7A 70 MOHM SMD,Taiyo Yuden,NRS2012T1R0NGJ,,587-3448-1-ND
2,D98 D103,DIODE SCHOTTKY 60V 1A PMDU,Rohm,RB160M-60TR,,RB160M-60CT-ND
2,R1 R22,RES 499 OHM 1% 1/2W 1206,Stackpole Electronics Inc.,RNCP1206FTD499R,,RNCP1206FTD499RCT-ND
13,R2 R21 R23 R32-39 R53 R72,RES 100K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1003X,,P100KLCT-ND
1,R24,RES 16.2K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1622X,,P16.2KLCT-ND
3,R28 R30 R42,RES 1K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1001X,,P1.00KLCT-ND
24,R9-20 R56-58 R60 R62-69,RES NS 0402 SMD,Panasonic - ECG,NA,,NA
2,R26-27,RES 2.7K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ2RKF2701X,,P2.70KLCT-ND
1,R25,RES 49.9K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4992X,,P49.9KLCT-ND
2,R29 R31,RES 5.1K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF5101X,,P5.10KLCT-ND
12,R4-5 R8 R41 R44 R46-47 R49 R51 R54 R59 R71,RES SMD 59K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF5902V,,P59.0KHCT-ND
12,R3 R6-7 R40 R43 R45 R48 R50 R52 R55 R61 R70,RES 0.5 OHM 1% 1/3W 0805,Susumu,RL1220S-R50-F,,
5,D22-23 D31 D33 D46,DIODE SCHOTTKY 45V 15A DO214AB,Micro Commercial Co,SK1545-TP,,SK1545-TPCT-ND
11,TP1-11,,,,,
12,L1-3 L5-13,FIXED IND 100UH 900MA 611 MOHM,TDK,VLS6045EX-101M,,
