Qty,Reference Designator,Description,Manufacturer Part Number,Vendor,Vendor Part Number
1,U3,,,,1683-1002-ND
4,R9 R20-22,NS,NA,NA,NS
1,U8,RTL8211E,Symmetry,,
1,U7,IC REG LINEAR POS ADJ 1A 6SON,TPS7A3701DRVT,Digi-Key,296-36514-1-ND
2,CON1-2,0.85 INV MX-MAG 8 CORE GIG W/SHI,936273606,Digi-Key,0936273606-ND
1,X1,CRYSTAL 12MHZ 10PF SMD,ABM8G-12.000MHZ-4Y-T3,Digi-Key,535-10901-1-ND
1,X2,CRYSTAL 25MHZ 10PF SMD,ABM8G-25.000MHZ-B4Y-T,Digi-Key,535-10297-1-ND
1,U1,IC REG BUCK SYNC ADJ 6A 30LQFN,AOZ1232QI-01,Digi-Key,785-1644-1-ND
2,U6 U9,TVS DIODE 5V 16.5V 10DFN,AOZ8804ADI,Digi-Key,AOZ8804ADI-ND
3,D2-4,LED 1.6X0.8MM 568NM GRN CLR SMD,APT1608SGC,Digi-Key,754-1121-1-ND
1,U5,OSC MEMS 26.000MHZ CMOS SMD,ASEMB-26.000MHZ-LY-T,Digi-Key,535-11094-1-ND
6,FB1-6,FERRITE CHIP 470 OHM 1500MA 0603,BLM18KG471SN1D,Digi-Key,490-5257-1-ND
1,J1,CONN MICRO SD R/A HING TYPE SMD,DM3CS,Digi-Key,HR1972CT-ND
3,R2 R6 R23,RES 1K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND
9,R7 R10-12 R16 R18-19 R25 R27,RES 10K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1002X,Digi-Key,P10.0KLCT-ND
2,R37 R48,RES 100K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND
1,R61,RES 1M OHM 1/10W 1% 0402 SMD,ERJ-2RKF1004X,Digi-Key,P1.00MLCT-ND
1,R36,RES 1.5K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1501X,Digi-Key,P1.50KLCT-ND
1,R4,RES 16.2K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1622X,Digi-Key,P16.2KLCT-ND
1,R60,RES 2K OHM 1/10W 1% 0402 SMD,ERJ-2RKF2001X,Digi-Key,P2.00KLCT-ND
1,R5,RES 300 OHM 1/10W 1% 0402 SMD,ERJ-2RKF3000X,Digi-Key,P300LCT-ND
1,R51,RES 30.1K OHM 1/10W 1% 0402 SMD,ERJ-2RKF3012X,Digi-Key,P30.1KLCT-ND
1,R8,RES 38.3K OHM 1/10W 1% 0402 SMD,ERJ-2RKF3832X,Digi-Key,P38.3KLCT-ND
1,R1,RES 402K OHM 1/10W 1% 0402 SMD,ERJ-2RKF4023X,Digi-Key,P402KLCT-ND
5,R3 R13-15 R17,RES 49.9K OHM 1/10W 1% 0402 SMD,ERJ-2RKF4992X,Digi-Key,P49.9KLCT-ND
1,R55,RES 52.3K OHM 1/10W 1% 0402 SMD,ERJ-2RKF5232X,Digi-Key,P52.3KLCT-ND
2,R24 R26,RES 120 OHM 1/10W 1% 0402 SMD,ERJ2RKF1200X,Digi-Key,P120LCT-ND
1,R54,RES 12K OHM 1/10W 1% 0402 SMD,ERJ2RKF1202X,Digi-Key,P12.0KLCT-ND
14,R38-46 R49-50 R52-53 R56,RES 22 OHM 1/10W 1% 0402 SMD,ERJ2RKF22R0X,Digi-Key,P22.0LCT-ND
2,R29-30,RES 330 OHM 1/10W 1% 0402 SMD,ERJ2RKF3300X,Digi-Key,P330LCT-ND
9,R28 R31-35 R47 R57 R59,RES 4.7K OHM 1/10W 1% 0402 SMD,ERJ2RKF4701X,Digi-Key,P4.70KLCT-ND
3,SW1-3,SWITCH TACT 6X3.5MM SMD 180GF,FSMSM,Digi-Key,450-1140-ND
1,U10,IC USB HS QUAD UART/SYNC 64-LQFP,FT4232HL-REEL,Digi-Key,768-1026-1-ND
2,C37 C49,CAP CER 10PF 50V 5% 0402,GRM1555C1H100JA01D,Digi-Key,490-5921-1-ND
2,C60-61,CAP CER 27PF 50V 5% NP0 0402,GRM1555C1H270JA01D,Digi-Key,490-5869-1-ND
2,C28 C43,CAP CER 1UF 25V 10% X5R 0402,GRM155R61E105KA12D,Digi-Key,490-10017-1-ND
41,C1 C9-10 C15-27 C29-31 C34-36 C38-42 C44 C46-48 C50-56 C59 C63-64,CAP CER 0.1UF 50V 10% X5R 0402,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
1,C2,CAP CER 1UF 6.3V 10% 0402,GRM155R70J105KA12D,Digi-Key,490-10024-1-ND
2,C3-4,CAP CER 10000PF 50V 10% X7R 0402,GRM155R71H103KA88D,Digi-Key,490-4516-1-ND
3,C57-58 C62,CAP CER 10UF 16V 20% X5R 0603,GRM188R61C106MA73D,Digi-Key,490-7201-1-ND
4,C14 C32-33 C45,CAP CER 4.7UF 16V 10% X5R 0603,GRM188R61C475KAAJD,Digi-Key,490-10481-1-ND
2,C7 C11,CAP CER 10UF 25V 10% X5R 1206,GRM21BR61E106KA73L,Digi-Key,490-5523-1-ND
2,C12-13,CAP CER 47UF 10V 20% X5R 1206,GRM31CR61A476ME15L,Digi-Key,490-5528-1-ND
2,C5-6,CAP CER 10UF 25V 10% X5R 1206,GRM31CR61H106KA12L,Digi-Key,490-5961-1-ND
1,C8,CAP CER 10UF 35V 10% X5R 1206,GRM31CR6YA106KA12L,Digi-Key,490-5524-1-ND
1,R58,RES 12.0K OHM 1/16W 1% 0402 SMD,MCR01MZPF1202,Digi-Key,RHM12.0KLCT-ND
3,Q1-3,TRANS NPN 30V 0.6A SOT23,MMBT2222LT1G,Digikey,MMBT2222LT1GOSCT-ND
1,U2,Voltage Regulators - Switching Regulators 1A 24V 1.4MHz Non-sync Buck,MP2360DG-LF-P,Mouser,946-MP2360DGLFP
1,L1,FIXED IND 1UH 1.7A 70 MOHM SMD,NRS2012T1R0NGJ,Digi-Key,587-3448-1-ND
1,L3,FIXED IND 4.7UH 910MA 241 MOHM,NRS2012T4R7MGJV,Digi-Key,587-4288-1-ND
1,D1,DIODE SCHOTTKY 60V 1A PMDU,RB160M-60TR,Digi-Key,RB160M-60CT-ND
1,L2,FIXED IND 10UH 6.5A 18 MOHM SMD,SRR1210-100M,Digi-Key,SRR1210-100MCT-ND
1,U4,IC HUB CTLR USB 2.0 HSIC 32QFN,USB3503/ML,Digi-Key,USB3503/ML-ND
2,J4-5,CONN RCPT USB MICRO AB SMD R/A,ZX62-AB-5PA(31),Digi-Key,H125279CT-ND
