Qty,Reference Designator,Description,Manufacturer Part Number,Vendor,Vendor Part Number
5,J2,"CONN HEADER FMAL 30PS.1"" DL GOLD",PPPC152LFBN-RC,Digi-Key,S7118-ND
5,F1,FUSE HOLDER BLADE 80V PCB,178.6165.0001,Digi-Key,F5197-ND
10,U2 U9,IC QUAD 2-IN AND GATE 14-SOIC,SN74LV08AD,Digi-Key,296-1673-5-ND
10,U3 U11,IC DUAL INVERTER GATE SC-70-6,SN74LVC2G04DCKR,Digi-Key,SN74LVC2G04DCKR
5,J17,"8 Position Terminal Block Header Male Pins Shrouded (4 Side) 0.200"" (5.08mm) Vertical Through Hole",395311008,Digi-Key,WM7842-ND
5,J9,CONN HDR 2POS 7.50MM R/A SLDR,1720430202,Digi-Key,1720430202-ND
5,U16,IC REG BUCK SYNC ADJ 6A 30LQFN,AOZ1232QI-01,Digi-Key,785-1644-1-ND
40,U1 U5-6 U8 U10 U12 U14-15,IC MOTOR DRIVER PAR TO263-7,BTN8962TAAUMA1,Digi-Key,BTN8962TAAUMA1INCT-ND
20,R5 R10 R15 R134,RES SMD 0.005 OHM 1% 1W 1206,CSRF1206FT5L00,Digi-Key,CSRF1206FT5L00TR-ND
10,C27 C34,,EEU-HD1V222B,Digi-Key,P15768CT-ND
100,R46 R51 R158 R160,RES 10K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1002X,Digi-Key,P10.0KLCT-ND
100,R3-4 R8-9 R13-14 R18 R20 R22 R24 R142-143,RES 0 OHM 1/10W 0402 SMD,ERJ-2RKF1912X,Digi-Key,P0.0JCT-ND
25,R45,RES 40.2K OHM 1/10W 1% 0402 SMD,ERJ-2RKF4022X,Digi-Key,P40.2KLCT-ND
25,R52,RES 402K OHM 1/10W 1% 0402 SMD,ERJ-2RKF4023X,Digi-Key,P402KLCT-ND
100,R1-2 R6-7 R11-12 R16-17,,ERJ-2RKF5101X,Digi-Key,P5.10KLCT-ND
25,R50,RES 59K OHM 1/10W 1% 0402 SMD,ERJ-2RKF5902X,Digi-Key,P59.0KLCT-ND
100,C6 C13 C20 C57,CAP CER 1000PF 50V 10% X5R 0402,GRM155R61H102KA01D,Digi-Key,490-6316-1-ND
100,C1 C3-5 C8 C10 C15 C17-19 C22 C24,,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
100,C11-12 C25-26 C28 C56 C68 C70,CAP CER 0.1UF 50V 10% X5R 0402,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
25,C29,CAP CER 1UF 6.3V 10% 0402,GRM155R70J105KA12D,Digi-Key,490-10024-1-ND
15,C32-33,CAP CER 47UF 10V 20% X5R 1206,GRM31CR61A476ME15L,Digi-Key,490-5528-1-ND
15,C30-31,CAP CER 10UF 25V 10% X5R 1206,GRM31CR61H106KA12L,Digi-Key,490-5961-1-ND
50,C2 C7 C9 C14 C16 C21 C23 C39,CAP CER 10UF 50V 10% X7R 1210,GRM32ER71H106KA12L,Digi-Key,490-6544-1-ND
25,U4 U7 U13 U20,IC OPAMP CURR SENSE 14KHZ SC70-6,INA213BIDCKR,Digi-Key,296-40129-1-ND
5,L2,FIXED IND 10UH 6.5A 18 MOHM SMD,SRR1210-100M,Digi-Key,SRR1210-100MCT-ND
5,U19,IC OPAMP GP 500KHZ RRO 8SOIC,TLV2762IDR,Digi-Key,296-10665-1-ND
