Qty,Reference Designator,Vendor Part Number
10,J2,S7118-ND
10,J1,WM7842-ND
10,U11,785-1644-1-ND
80,U6-9 U12-13 U15-16,BTN8962TAAUMA1INCT-ND
50,R5 R25 R31 R34,CSRF1206FT5L00TR-ND
30,C6-7,P15768CT-ND
100,R1-2 R14 R20,P10.0KLCT-ND
150,R6-7 R10 R12 R16 R21 R26-27 R30 R32-33 R35,P0.0JCT-ND
100,R17,P40.2KLCT-ND
100,R15,P402KLCT-ND
100,R3-4 R8-9 R23-24 R28-29,P5.10KLCT-ND
100,R18,P59.0KLCT-ND
50,C14 C31 C36 C39,490-6316-1-ND
250,C1-5 C8 C10-11 C16-18 C21-22 C27-28 C32-34 C37-38,490-10697-1-ND
20,C20,490-10024-1-ND
30,C15 C19,490-5528-1-ND
30,C23 C26,490-5961-1-ND
100,C9 C12-13 C24-25 C29-30 C35,490-6544-1-ND
50,U10 U14 U17-18,296-40129-1-ND
15,R36,RNCP1206FTD1R00CT-ND
15,D16,MM3Z13VT1GOSCT-ND
15,D15,RB160M-60CT-ND
20,U1-2,296-1673-1-ND
20,U3 U5,296-13262-1-ND
10,L1,SRR1210-100MCT-ND
10,U4,296-10665-1-ND
