Qty,Reference Designator,Description,Manufacturer Part Number,Vendor,Vendor Part Number
11,TP1-11,,,,
1,J2,IDC BOX HEADER 0.050 10 POS,3220-10-0300-00,Digi-Key,1175-1629-ND
1,X1,CRYSTAL 12MHZ 10PF SMD,ABM8G-12.000MHZ-4Y-T3,Digi-Key,535-10901-1-ND
6,U1 U100-104,IC LED DRVR TSOT25,AL8860WT-7,Digi-Key,AL8860WT-7DICT-ND
1,FB1,FERRITE CHIP 470 OHM 1500MA 0603,BLM18KG471SN1D,DIGIKEY,490-5257-1-ND
3,Q1-3,MOSFET 2N-CH 20V 1.33A SOT563,DMN2400UV-7,Digi-Key,DMN2400UV-7DICT-ND
15,R2-3 R6 R8 R11 R13 R17 R19-23 R26-27 R29,RES 1K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND
7,R4-5 R10 R12 R24-25 R28,RES 100K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND
1,R14,RES 16.2K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1622X,Digi-Key,P16.2KLCT-ND
1,R16,RES 49.9K OHM 1/10W 1% 0402 SMD,ERJ-2RKF4992X,Digi-Key,P49.9KLCT-ND
2,R15 R18,RES 5.1K OHM 1/10W 1% 0402 SMD,ERJ-2RKF5101X,Digi-Key,P5.10KLCT-ND
2,R7 R9,RES 2.7K OHM 1/10W 1% 0402 SMD,ERJ2RKF2701X,Digi-Key,P2.70KLCT-ND
1,J1,.050'' X .050 TERMINAL STRIP,FTSH-106-01-F-D-RA,Digi-Key,FTSH-106-01-F-D-RA-ND
2,C13-14,CAP CER 10PF 50V 5% 0402,GRM1555C1H100JA01D,Digi-Key,490-5921-1-ND
4,C6 C9-10 C12,CAP CER 0.1UF 50V 10% X5R 0402,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
8,C2-4 C8 C16-19,CAP CER 1UF 6.3V 10% 0402,GRM155R70J105KA12D,Digi-Key,490-10024-1-ND
1,C7,CAP CER 10000PF 25V 10% X7R 0402,GRM155R71E103KA01D,Digi-Key,490-1312-1-ND
2,C11 C15,CAP CER 10UF 25V 10% X5R 1206,GRM21BR61E106KA73L,Digi-Key,490-5523-1-ND
2,C103-104,CAP CER 22UF 25V 20% X5R 0805,GRM21BR61E226ME44L,Digi-Key,490-10749-1-ND
6,C1 C100-102 C105-106,CAP CER 0.1UF 50V 10% X7R 0805,GRM21BR71H104KA01L,Digi-Key,490-1666-1-ND
1,C5,CAP CER 10UF 35V 10% X5R 1206,GRM31CR6YA106KA12L,Digi-Key,490-5524-1-ND
1,U5,IC RCVR ESD RS485/422 LP SOT23-6,ISL3283EIHZ-T,Digi-Key,ISL3283EIHZ-TCT-ND
1,U2,SENSOR TEMP I2C/SMBUS 8DFN,MCP9808T-E/MC,Digi-Key,MCP9808T-E/MCCT-ND
1,U4,IC MCU 32BIT 64KB FLASH 32QFN,MKV11Z64VFM7,Digi-Key,568-13578-ND
1,D308,DIODE ZENER 24V 200MW SOD323F,MM3Z24VB,Digi-Key,MM3Z24VBTR-ND
1,U3,Voltage Regulators - Switching Regulators 1A 24V 1.4MHz Non-sync Buck,MP2360DG-LF-P,Mouser,946-MP2360DGLFP
1,L2,FIXED IND 1UH 1.7A 70 MOHM SMD,NRS2012T1R0NGJ,Digi-Key,587-3448-1-ND
13,D1-2 D100-109 D309,DIODE SCHOTTKY 60V 1A PMDU,RB160M-60TR,Digi-Key,RB160M-60CT-ND
6,R1 R100-102 R104-105,RES 0.12 OHM 1% 1/3W 0805,RL1220S-R12-F,Digi-Key,RL12S.12FCT-ND
2,R43 R103,RES 499 OHM 1% 1/2W 1206,RNCP1206FTD499R,Digi-Key,RNCP1206FTD499RCT-ND
6,L1 L100-104,FIXED IND 100UH 900MA 611 MOHM,VLS6045EX-101M,Digi-Key,445-173040-1-ND
