Qty,Reference Designator,Vendor Part Number
20,J1 J5,WM3853-ND
30,J2-4,WM7842-ND
10,J6,1175-1629-ND
25,R46-47,A121182CT-ND
10,X1,535-10267-1-ND
20,U7 U9,296-41954-1-ND
25,FB1-2,490-5257-1-ND
80,U2-5 U11-14,BTN8962TAAUMA1INCT-ND
50,C18 C25 C27 C33,445-7660-1-ND
15,R3,CRM2512-JW-1R0ELFCT-ND
100,R37 R41 R44,P1.00KLCT-ND
250,R14-17 R16 R19 R27-30 R32 R48,P10.0KLCT-ND
100,R4-5 R9-10 R18 R22 R31 R36 R38 R43,P100KLCT-ND
100,R23,P16.2KLCT-ND
100,R2,P3.48KLCT-ND
100,R1 R21,P49.9KLCT-ND
150,R7-8 R12-13 R34-35 R39-40 R42 R45,P5.10KLCT-ND
100,R11 R20 R26 R33,P22.0KLCT-ND
100,R24-25,P2.70KLCT-ND
25,C36-37,490-5921-1-ND
150,C5 C11-12 C15 C19-20 C29-30 C32 C34 C39 C41 C43,490-10697-1-ND
50,C26 C40,490-10024-1-ND
50,C2 C17,490-1312-1-ND
100,C1 C4 C16 C21 C23 C31,490-5523-1-ND
50,C7-10,490-10749-1-ND
50,C3 C22,490-5524-1-ND
100,C6 C13-14 C24 C28 C35 C38 C42,490-6544-1-ND
10,U15,ISL3283EIHZ-TCT-ND
10,U8,MCP9808T-E/MCCT-ND
10,U10,568-13578-ND
10,D1,MM3Z24VBTR-ND
10,Q1,MMBT2222LT1GOSCT-ND
20,U1 U6,1589-1582-1-ND 
20,L1-2,587-3448-1-ND
30,D4-5 D7,RB160M-60CT-ND
10,R6,RNCP1206FTD499RCT-ND
50,D2-3 D6 D8-9,SK1545-TPCT-ND
